trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-63.37319063732129,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,0,-50.96975008351494,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,17,-16.009158608632934,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,11,-2.7997840359788335,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,7,-93.45601032460289,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,4,-22.410303258952602,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,7,-42.30722733729196,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,-154.06280232323027,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,10.944271917501112,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",30,12,-34.686320596611665,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-59.058336599816286,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-54.82280559860313,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
